task1_1	kenan_google_beta-default_ambient	334829	['en-US-Wavenet-H', 'en-US-Standard-A', 'en-US-Wavenet-I', 'en-US-Standard-F', 'en-US-Standard-G', 'en-US-Wavenet-F']
task1_2	kenan_google_beta-default_ambient	790617	['en-US-Standard-I', 'en-US-Standard-H', 'en-US-Wavenet-F', 'en-US-Wavenet-I', 'en-US-Standard-I', 'en-US-Wavenet-I']
task1_3	kenan_google_beta-default_ambient	425958	['en-US-Wavenet-D', 'en-US-Wavenet-A', 'en-US-Wavenet-E', 'en-US-Wavenet-A', 'en-US-Standard-G', 'en-US-Standard-H']
task2_1	baseline	045288	['en-US-Standard-H', 'en-US-Standard-A', 'en-US-Wavenet-D', 'en-US-Wavenet-I', 'en-US-Wavenet-A', 'en-US-Wavenet-A']
task2_2	baseline	731062	['en-US-Standard-E', 'en-US-Wavenet-J', 'en-US-Wavenet-I', 'en-US-Wavenet-F', 'en-US-Standard-G', 'en-US-Wavenet-J']
task2_3	baseline	825058	['en-US-Standard-I', 'en-US-Standard-F', 'en-US-Standard-A', 'en-US-Standard-I', 'en-US-Wavenet-E', 'en-US-Standard-F']
task3_1	kenan_ibm_ambient	962024	['en-US-Wavenet-A', 'en-US-Wavenet-A', 'en-US-Wavenet-D', 'en-US-Standard-G', 'en-US-Wavenet-I', 'en-US-Wavenet-E']
task3_2	kenan_ibm_ambient	429943	['en-US-Standard-I', 'en-US-Standard-F', 'en-US-Standard-A', 'en-US-Wavenet-I', 'en-US-Wavenet-D', 'en-US-Wavenet-J']
task3_3	kenan_ibm_ambient	176967	['en-US-Standard-D', 'en-US-Wavenet-D', 'en-US-Standard-F', 'en-US-Wavenet-G', 'en-US-Standard-I', 'en-US-Wavenet-G']
task4_1	kenan_ibm	545772	['en-US-Standard-J', 'en-US-Standard-J', 'en-US-Standard-D', 'en-US-Standard-F', 'en-US-Standard-H', 'en-US-Standard-G']
task4_2	kenan_ibm	790433	['en-US-Standard-I', 'en-US-Standard-F', 'en-US-Standard-I', 'en-US-Wavenet-A', 'en-US-Standard-A', 'en-US-Wavenet-H']
task4_3	kenan_ibm	351451	['en-US-Wavenet-J', 'en-US-Wavenet-H', 'en-US-Standard-H', 'en-US-Standard-G', 'en-US-Wavenet-F', 'en-US-Standard-D']
