task1_1	kenan_ibm_ambient	309647	['en-US-Wavenet-E', 'en-US-Standard-A', 'en-US-Wavenet-J', 'en-US-Wavenet-E', 'en-US-Wavenet-G', 'en-US-Wavenet-D']
task1_2	kenan_ibm_ambient	540303	['en-US-Wavenet-A', 'en-US-Standard-A', 'en-US-Wavenet-G', 'en-US-Standard-J', 'en-US-Standard-E', 'en-US-Wavenet-J']
task1_3	kenan_ibm_ambient	405612	['en-US-Wavenet-H', 'en-US-Standard-A', 'en-US-Standard-I', 'en-US-Standard-D', 'en-US-Standard-A', 'en-US-Standard-E']
task2_1	kenan_ibm	783740	['en-US-Wavenet-G', 'en-US-Wavenet-A', 'en-US-Standard-F', 'en-US-Standard-G', 'en-US-Wavenet-J', 'en-US-Wavenet-J']
task2_2	kenan_ibm	576731	['en-US-Standard-I', 'en-US-Wavenet-I', 'en-US-Wavenet-F', 'en-US-Wavenet-F', 'en-US-Wavenet-E', 'en-US-Standard-D']
task2_3	kenan_ibm	758288	['en-US-Wavenet-D', 'en-US-Standard-I', 'en-US-Wavenet-E', 'en-US-Standard-E', 'en-US-Wavenet-J', 'en-US-Wavenet-I']
task3_1	kenan_google_beta-phone_call_ambient	261355	['en-US-Wavenet-E', 'en-US-Wavenet-D', 'en-US-Wavenet-D', 'en-US-Standard-F', 'en-US-Wavenet-G', 'en-US-Wavenet-G']
task3_2	kenan_google_beta-phone_call_ambient	997557	['en-US-Wavenet-H', 'en-US-Standard-A', 'en-US-Standard-D', 'en-US-Wavenet-A', 'en-US-Wavenet-J', 'en-US-Wavenet-H']
task3_3	kenan_google_beta-phone_call_ambient	509705	['en-US-Wavenet-I', 'en-US-Standard-J', 'en-US-Wavenet-J', 'en-US-Wavenet-H', 'en-US-Standard-J', 'en-US-Wavenet-I']
task4_1	baseline	606629	['en-US-Standard-D', 'en-US-Standard-H', 'en-US-Standard-I', 'en-US-Standard-E', 'en-US-Standard-F', 'en-US-Wavenet-D']
task4_2	baseline	897035	['en-US-Wavenet-E', 'en-US-Standard-I', 'en-US-Standard-G', 'en-US-Wavenet-D', 'en-US-Wavenet-H', 'en-US-Wavenet-I']
task4_3	baseline	564501	['en-US-Wavenet-I', 'en-US-Wavenet-F', 'en-US-Standard-E', 'en-US-Wavenet-D', 'en-US-Wavenet-F', 'en-US-Wavenet-I']
